#Horizontal distance(KM):	Theoretical probability:	Simulated probability:
0							55.8207						55.87
0.5							55.568						55.53
1							54.828						54.46
1.5							53.6509						54.09
2							52.1085						52.69
2.5							50.2815						50.9
3							48.2496						48.56
3.5							46.0839						45.85
4							43.8444						43.82
4.5							41.5792						41.47
5							39.3255						39.52
